"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"4893","Plaza Hollywood Cancun","Licensed Store","Mexico","Cancún","Quintana Roo","77500","Av Coba Palenque Y, Cancun","[21.15560,-86.83466]","",""
"4896","Vasconcelos","Licensed Store","Mexico","San Pedro Garza García","Nuevo Leon","66226","Av Vasconcelos No 804, Monterrey","[25.65711,-100.38979]","",""
"4898","Lopez Mateos 1","Licensed Store","Mexico","Celaya","Guanajuato","38060","Av Lopez Mateos No1025, Celaya","[20.51965,-100.82902]","",""
"4899","Playacar","Licensed Store","Mexico","Playa del Carmen","Quintana Roo","77710","Paseo Xaman-Ha Lt 19, Playa del Carmen","[20.60890,-87.09130]","",""
"4900","Arboledas","Licensed Store","Mexico","Ciudad López Mateos","State of Mexico","52950","Calz De Los Jinetes, Mexico City","[19.55877,-99.21735]","",""
"4901","Magnocentro","Licensed Store","Mexico","Huixquilucan de Degollado","State of Mexico","52760","Ex-Hacienda De Jesus Del, Mexico City","[19.40658,-99.27183]","",""
"4907","Tecnologico Metepec","Licensed Store","Mexico","San Salvador Tizatlalli","State of Mexico","52172","Av Tecnologico No1600 Y, Toluca","[19.27349,-99.57449]","",""
"4908","Garcia Salinas","Licensed Store","Mexico","Zacatecas","Zacatecas","98097","Calz Francisco Garcia Salinas, Zacatecas","[22.75984,-102.54514]","",""
"4910","Galerias Laguna","Licensed Store","Mexico","Torreón","Coahuila","27018","Av Periferico Raul Lopez, Torreon","[25.58148,-103.40398]","",""
"4911","Galerias Pachuca","Licensed Store","Mexico","Pachuca","Hidalgo","42084","CC Galerias Pachuca Loc, Pachuca","[20.09819,-98.76750]","",""
"4920","Marina Los Cabos","Licensed Store","Mexico","Cabo San Lucas","Baja California Sur","23450","Blvd Marina Sn Lt, Los Cabos","[22.88676,-109.91130]","",""
"4923","Zona Financiera","Licensed Store","Mexico","Guadalajara","Jalisco","44610","Av Prol Americas No, Guadalajara","[20.70321,-103.37646]","",""
"4925","Valle Real Guadalajara","Licensed Store","Mexico","Zapopan","Jalisco","45136","Prol Av Santa Margarita, Guadalajara","[20.73043,-103.44172]","",""
"4928","T2 Planta Alta","Licensed Store","Mexico","Mexico City","Mexico City","15620","Aicm Terminal 2 Loc, Mexico City","[19.42175,-99.07732]","",""
"4929","Triangulo","Licensed Store","Mexico","Puebla","Puebla","72400","Av 39 Poniente No, Puebla","[19.04373,-98.23559]","",""
"4890","Valle Plaza 401 Monterrey","Licensed Store","Mexico","San Pedro Garza García","Nuevo Leon","66220","Calz Del Valle No, Monterrey","[25.65529,-100.36135]","",""
"4892","La Isla Cancun I","Licensed Store","Mexico","Cancún","Quintana Roo","77500","Blvd Kulkulkan Mz 52, Cancun","[21.11069,-86.76418]","",""
"4894","Toluca Colon","Licensed Store","Mexico","Toluca","State of Mexico","50120","Av Venustiano Carranza No, Toluca","[19.27928,-99.66134]","",""
"4895","Costa Azul","Licensed Store","Mexico","Acapulco","Guerrero","39850","Ave Costera Miguel Aleman, Acapulco","[16.84692,-99.85000]","",""
"4897","Paseo Triunfo de la Republica","Licensed Store","Mexico","Ciudad Juárez","Chihuahua","32310","Av Paseo Triunfo De La, Ciudad Juarez","[31.73687,-106.44345]","",""
"4903","Universidad Anahuac","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","52786","Av Lomas Anahuac Sn, Mexico City","[19.40280,-99.26382]","",""
"4905","T1 Puerta 3 D8","Licensed Store","Mexico","Mexico City","Mexico City","15620","Aicm P B Loc, Mexico City","[19.43443,-99.08497]","",""
"4906","Cholula","Licensed Store","Mexico","Cholula de Rivadavia","Puebla","72810","Av 5 De Mayo, Puebla","[19.05923,-98.29564]","",""
"4912","Pachuca San Javier","Licensed Store","Mexico","Pachuca","Hidalgo","42064","Blvd Everardo Marquez No1100, Pachuca","[20.11308,-98.74690]","",""
"4913","MM Garza Sada","Licensed Store","Mexico","Monterrey","Nuevo Leon","64700","CC Paseo Tec Av, Monterrey","[25.65439,-100.29387]","",""
"4915","La Salle","Licensed Store","Mexico","Mexico City","Mexico City","06170","Benjamin Franklin No47 Col, Mexico City","[19.40790,-99.18150]","",""
"4918","Forum Tepic","Licensed Store","Mexico","Tepic","Nayarit","63000","Av Luis Donaldo Colosio, Tepic","[21.49178,-104.86613]","",""
"4921","Torre Scotiabank","Licensed Store","Mexico","Mexico City","Mexico City","11000","Blvd Manuel Avila Camacho, Mexico City","[19.42842,-99.20330]","",""
"4922","Fiesta Americana Reforma","Licensed Store","Mexico","Mexico City","Mexico City","06600","Av Paseo De La, Mexico City","[19.43258,-99.15459]","",""
"4924","Amberes","Licensed Store","Mexico","Mexico City","Mexico City","06600","Amberes No 1 Loc, Mexico City","[19.42712,-99.16622]","",""
"4930","Gran Sur","Licensed Store","Mexico","Mexico City","Mexico City","04700","Av Iman No 151, Mexico City","[19.30647,-99.16659]","",""
"4931","Plaza Delta","Licensed Store","Mexico","Mexico City","Mexico City","03000","Av Cuauhtemoc Esq Obrero, Mexico City","[19.40327,-99.15382]","",""
"4932","T1 Aeropuerto Internacional II","Licensed Store","Mexico","Mexico City","Mexico City","15620","Aicm Loc 66 1Er, Mexico City","[19.43580,-99.08200]","",""
"4940","Centro Magno","Licensed Store","Mexico","Guadalajara","Jalisco","44130","Av Vallarta No 2425, Guadalajara","[20.67389,-103.38046]","",""
"4941","Palmas","Licensed Store","Mexico","Mexico City","Mexico City","11000","Av De La Palmas, Mexico City","[19.42935,-99.21611]","",""
"4942","Antara","Licensed Store","Mexico","Mexico City","Mexico City","11520","Av Ejercito Nacional No, Mexico City","[19.43900,-99.20271]","",""
"4944","Mazaryk Spencer","Licensed Store","Mexico","Mexico City","Mexico City","11560","Presidente Mazaryk No 39, Mexico City","[19.43150,-99.18267]","",""
"4945","Metropoli Patriotismo","Licensed Store","Mexico","Mexico City","Mexico City","03800","Av Patriotismo No 229, Mexico City","[19.39602,-99.18039]","",""
"4946","Bugambilias Guadalajara","Licensed Store","Mexico","Zapopan","Jalisco","45237","Blvd Bugambilias No 2299, Guadalajara","[20.60094,-103.44762]","",""
"4950","Puebla Masarik","Licensed Store","Mexico","Tlaxcalancingo","Puebla","72830","Blvd Atlixcayotl No 1501, Puebla","[19.02701,-98.23650]","",""
"4952","Santa Fe 2","Licensed Store","Mexico","Mexico City","Mexico City","01376","Guillermo Gonzalez Camarena No, Mexico City","[19.36531,-99.26573]","",""
"4953","Bellavista","Licensed Store","Mexico","Tlalnepantla de Baz","State of Mexico","54054","Av De Las Fuentes, Mexico City","[19.51891,-99.24697]","",""
"4954","Aeropuerto II Sala Bravo","Licensed Store","Mexico","Mexico City","Mexico City","15620","Aicm Nacional 1Er Piso, Mexico City","[19.43320,-99.08621]","",""
"4955","Chapultepec Guadalajara","Licensed Store","Mexico","Guadalajara","Jalisco","44150","Av Lopez Cotilla No, Guadalajara","[20.67366,-103.36901]","",""
"4957","Asuncion","Licensed Store","Mexico","Aguascalientes","Aguascalientes","20280","Blvd Jose Ma Chavez, Aguascalientes","[21.85829,-102.29369]","",""
"4958","Blvd Ortiz Mena Chihuahua","Licensed Store","Mexico","Chihuahua","Chihuahua","31205","Blvd Antonio Ortiz Mena, Chihuahua","[28.64105,-106.09957]","",""
"4959","Manzanillo Blvd Madrid","Licensed Store","Mexico","Manzanillo","Colima","28869","Blvd Miguel De La, Manzanillo","[19.10477,-104.33289]","",""
"4960","Division del Norte","Licensed Store","Mexico","Mexico City","Mexico City","04120","Callejon Cororco No6 Col, Mexico City","[19.35399,-99.15178]","",""
"4964","Nuevo Leon","Licensed Store","Mexico","Mexico City","Mexico City","06760","Tlaxcala No 207 Y, Mexico City","[19.40655,-99.17170]","",""
"4966","Tecos","Licensed Store","Mexico","Zapopan","Jalisco","45110","Plaza Universidad Av Patria, Guadalajara","[20.69131,-103.41485]","",""
"4970","Galerias Atizapan","Licensed Store","Mexico","Ciudad López Mateos","State of Mexico","52977","Av Ruiz Cortines No, Mexico City","[19.54884,-99.27424]","",""
"4934","Mariano Otero","Licensed Store","Mexico","Guadalajara","Jalisco","44535","Mariano Otero No 3295, Guadalajara","[20.65266,-103.39485]","",""
"4935","Altavista-Mexico","Licensed Store","Mexico","Mexico City","Mexico City","01060","Av Altavista No 147, Mexico City","[19.34899,-99.19591]","",""
"4938","16 de Septiembre","Licensed Store","Mexico","Mexico City","Mexico City","06000","16 De Septiembre No, Mexico City","[19.43194,-99.13512]","",""
"4939","Gran Plaza","Licensed Store","Mexico","Zapopan","Jalisco","45049","Av Vallarta No 3959, Guadalajara","[20.67455,-103.40469]","",""
"4943","Santa Fe IMAX","Licensed Store","Mexico","Mexico City","Mexico City","05348","Autopista Mexico-Toluca No 1235, Mexico City","[19.35933,-99.27470]","",""
"4947","Condesa","Licensed Store","Mexico","Mexico City","Mexico City","06170","Michoacan No 139 Esq, Mexico City","[19.41161,-99.17727]","",""
"4948","Insurgentes Relox","Licensed Store","Mexico","Mexico City","Mexico City","01070","Insurgentes Sur No 2374, Mexico City","[19.33998,-99.19019]","",""
"4951","Galerias Las Animas","Licensed Store","Mexico","Puebla","Puebla","72400","Circ Int Juan Pablo, Puebla","[19.04427,-98.23475]","",""
"4956","San Marcos","Licensed Store","Mexico","Cuautitlán Izcalli","State of Mexico","54720","Av Chalma Sn Esq Autopista, Cuautitlan Izcalli","[19.67089,-99.20313]","",""
"4961","Anahuac","Licensed Store","Mexico","San Nicolás de los Garza","Nuevo Leon","66450","Av Universidad No100 Col, Monterrey","[25.73805,-100.30306]","",""
"4962","Mazatlan Lomas","Licensed Store","Mexico","Mazatlan","Sinaloa","82110","Av Paseo Lomas De, Mazatlan","[23.24362,-106.44852]","",""
"4965","Echegaray","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","53310","Blvd Hacienda De La, Mexico City","[19.48702,-99.23291]","",""
"4967","Constitucion","Licensed Store","Mexico","Monterrey","Nuevo Leon","64060","Av Constitucion Pte No1804-B, Monterrey","[25.66921,-100.33959]","",""
"4968","Galerias Hipodroma","Licensed Store","Mexico","Tijuana","Baja California","22024","Blvd Agua Caliente No, Tijuana","[32.50900,-116.99278]","",""
"4969","CM Coapa","Licensed Store","Mexico","Mexico City","Mexico City","14380","Calle Puente No186 Col, Mexico City","[19.28448,-99.13730]","",""
"4979","Forum Culiacan","Licensed Store","Mexico","Culiacán","Sinaloa","80020","Blvd Diego Valadez Esq Enrique, Culiacan","[24.81456,-107.40063]","",""
"4983","Tec Guadalajara","Licensed Store","Mexico","Zapopan","Jalisco","45201","Av General Ramon Corona, Zapopan","[20.73490,-103.45492]","",""
"4984","Rodriguez","Licensed Store","Mexico","Hermosillo","Sonora","83016","Nayarit Sn Col Cruz, Hermosillo","[29.09571,-110.95294]","",""
"4985","San Miguel Centro","Licensed Store","Mexico","San Miguel de Allende","Guanajuato","37700","Canal No3 Esq Hidalgo, San Miguel de Allende","[20.91443,-100.74426]","",""
"4987","Lienzo","Licensed Store","Mexico","Mexicali","Baja California","21240","Calz Manuel Gomez Morin, Mexicali","[32.65486,-115.41176]","",""
"4988","La Rosita","Licensed Store","Mexico","Torreón","Coahuila","27250","Blvd Paseo De La, Torreon","[25.51827,-103.41571]","",""
"4990","Camelinas","Licensed Store","Mexico","Morelia","Michoacán","58290","Av Camelinas No1494 Col, Morelia","[19.68117,-101.17856]","",""
"4991","Plaza Fiesta San Agustin Inter","Licensed Store","Mexico","San Pedro Garza García","Nuevo Leon","66260","Batallon De San Patricio, San Pedro Garza Garcia","[25.64839,-100.33669]","",""
"4997","Plaza Boulevares","Licensed Store","Mexico","Santiago de Querétaro","Querétaro","76169","Plaza Blvdes Loc 15, Santiago de Queretaro","[20.61505,-100.38892]","",""
"4998","Playas de Tijuana","Licensed Store","Mexico","Tijuana","Baja California","22500","Paseo Pedregal No1302 Fracc, Tijuana","[32.52989,-117.11660]","",""
"5001","Angel","Licensed Store","Mexico","Mexico City","Mexico City","06500","Paseo De La Reforma, Mexico City","[19.42796,-99.16684]","",""
"5002","Olivar de los Padres","Licensed Store","Mexico","Mexico City","Mexico City","01780","Av Olivar De Los, Mexico City","[19.33729,-99.23758]","",""
"5004","Las Aguilas","Licensed Store","Mexico","Mexico City","Mexico City","01010","Calz De Los Leones, Mexico City","[19.36122,-99.19739]","",""
"5009","Pedregal","Licensed Store","Mexico","Mexico City","Mexico City","01900","Crater No 709 Loc, Mexico City","[19.31645,-99.21069]","",""
"5011","Plaza Inn","Licensed Store","Mexico","Mexico City","Mexico City","01020","Insurgentes Sur No 1971, Mexico City","[19.35170,-99.18654]","",""
"4971","Guadalupe","Licensed Store","Mexico","Zapopan","Jalisco","45070","Av Guadalupe No6000 Loc, Guadalupe","[20.65876,-103.43690]","",""
"4973","Castorena","Licensed Store","Mexico","Mexico City","Mexico City","05260","Jose Ma Castorena No320, Mexico City","[19.36075,-99.29168]","",""
"4975","Periferico de la Juventud","Licensed Store","Mexico","Chihuahua","Chihuahua","31000","Blvd Periferico De La, Chihuahua","[28.62915,-106.12030]","",""
"4978","Tres Rios","Licensed Store","Mexico","Culiacán","Sinaloa","80020","Jose Diego Valadez Rios, Culiacan","[24.81560,-107.39924]","",""
"4980","Plaza del Sol - Chihuahua","Licensed Store","Mexico","Chihuahua","Chihuahua","31215","Periferico De La Juventud, Chihuahua","[28.62225,-106.11468]","",""
"4982","Parque Tezontle 2","Licensed Store","Mexico","Mexico City","Mexico City","09020","Canal De Tezontle No1512, Mexico City","[19.38249,-99.08327]","",""
"4989","Copernico","Licensed Store","Mexico","Zapopan","Jalisco","45070","Av Carnero No5435 Esq, Guadalajara","[20.62982,-103.42248]","",""
"4992","Lomas","Licensed Store","Mexico","San Luis Potosi","San Luis Potosi","78210","Montes Blancos No180 Esq, San Luis Potosi","[22.14312,-101.02246]","",""
"4999","Independencia Boulevard","Licensed Store","Mexico","Torreón","Coahuila","27140","Blvd Independencia No751 Col, Torreon","[25.55455,-103.44117]","",""
"5006","Plaza Santa Teresa","Licensed Store","Mexico","Mexico City","Mexico City","01900","Blvd Adolfo Lopez Mateos, Mexico City","[19.30948,-99.21316]","",""
"5008","Prado Norte","Licensed Store","Mexico","Mexico City","Mexico City","11000","Prado Norte No 324, Mexico City","[19.42775,-99.20917]","",""
"5010","Campos Eliseos","Licensed Store","Mexico","Mexico City","Mexico City","11550","Galileo No 8, Mexico City","[19.42843,-99.19340]","",""
"5013","Embassy Suites Hotel","Licensed Store","Mexico","Mexico City","Mexico City","06030","Paseo De La Reforma, Mexico City","[19.43355,-99.15438]","",""
"5014","Horacio","Licensed Store","Mexico","Mexico City","Mexico City","11530","Horacio No 326, Mexico City","[19.43300,-99.18663]","",""
"5015","Parque Lindavista 1","Licensed Store","Mexico","Mexico City","Mexico City","07760","Colectores 13 No 280, Mexico City","[19.48628,-99.13115]","",""
"5016","Parque Lindavista 2","Licensed Store","Mexico","Mexico City","Mexico City","07760","Colectores 13 No 280, Mexico City","[19.48650,-99.13058]","",""
"5017","Lomas Plaza","Licensed Store","Mexico","Mexico City","Mexico City","11000","Blvd Manuel Avila Camacho, Mexico City","[19.43015,-99.20675]","",""
"5018","Terranova","Licensed Store","Mexico","Guadalajara","Jalisco","44647","Av Terranova No 1025, Guadalajara","[20.69197,-103.38673]","",""
"5020","Jardines Vallarta","Licensed Store","Mexico","Zapopan","Jalisco","45027","Juan Palomar Y Arias, Guadalajara","[20.68191,-103.42840]","",""
"5022","Irrigacion","Licensed Store","Mexico","Mexico City","Mexico City","11500","Miguel De Cervantes Saavedra, Mexico City","[19.44110,-99.20657]","",""
"5023","Miguel Angel Quevedo 2","Licensed Store","Mexico","Mexico City","Mexico City","04000","Av Miguel Angel De, Mexico City","[19.34485,-99.16523]","",""
"5024","Landmark","Licensed Store","Mexico","Zapopan","Jalisco","45116","Av Mexico No 3300, Guadalajara","[20.70741,-103.41372]","",""
"5029","Centro Comercial Santa Fe 2","Licensed Store","Mexico","Mexico City","Mexico City","05348","Av Vasco De Quiroga, Mexico City","[19.36177,-99.27614]","",""
"5032","Morelia Campestre","Licensed Store","Mexico","Morelia","Michoacán","58260","Enrique Ramirez Miguel No, Morelia","[19.69055,-101.15961]","",""
"5036","Galerias del Valle","Licensed Store","Mexico","Mexicali","Baja California","21185","Blvd Lazaro Cardenas No2200, Mexicali","[32.62245,-115.50816]","",""
"5039","Circuito Colonias","Licensed Store","Mexico","Merida","Yucatan","97125","Calle 31 No102 X, Merida","[20.99785,-89.61233]","",""
"5041","La Isla Acapulco","Licensed Store","Mexico","Acapulco","Guerrero","39897","Blvd De Las Naciones, Acapulco","[16.77273,-99.77671]","",""
"5044","Guanajuato Centro","Licensed Store","Mexico","Guanajuato","Guanajuato","36000","Jardin De La Union, Guanajuato","[21.01582,-101.25267]","",""
"5046","Parques Polanco","Licensed Store","Mexico","Mexico City","Mexico City","11520","Av Mariano Escobedo Esq, Mexico City","[19.44030,-99.18505]","",""
"5056","Cuidad Jardin","Licensed Store","Mexico","Ciudad Jardín","State of Mexico","57205","Av Bordo De Xochiaca, Mexico City","[19.42430,-99.02443]","",""
"5058","Tepepan","Licensed Store","Mexico","Mexico City","Mexico City","14600","Periferico Sur No 4991, Mexico City","[19.28179,-99.14304]","",""
"5061","Santa Fe","Licensed Store","Mexico","Mexico City","Mexico City","05348","Guillermo Gonzalez Camarena No, Mexico City","[19.36177,-99.27605]","",""
"5063","Herradura","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","52783","Av Bosque De Minas, Huixquilucan","[19.42264,-99.26003]","",""
"5021","Obelisco","Licensed Store","Mexico","Mexico City","Mexico City","11550","Campos Eliseos No 247, Mexico City","[19.42784,-99.19513]","",""
"5026","ITESM Mexico City Campus","Licensed Store","Mexico","Ciudad López Mateos","State of Mexico","52926","Carr Lago De Guadalupe, Mexico City","[19.59760,-99.22649]","",""
"5027","La Calma","Licensed Store","Mexico","Zapopan","Jalisco","45070","Av Mariano Otero 3602, Monterrey","[20.63906,-103.41886]","",""
"5028","Domingo Diez","Licensed Store","Mexico","Cuernavaca","Morelos","62250","Av Domingo Diez No, Cuernavaca","[18.95551,-99.23701]","",""
"5031","Galerias Guadalajara 2","Licensed Store","Mexico","Zapopan","Jalisco","45030","CC Galerias Loc O-5, Guadalajara","[20.67733,-103.43279]","",""
"5034","Plaza La Hacienda","Licensed Store","Mexico","Mexico City","Mexico City","14300","Prol Division Del Norte, Mexico City","[19.29824,-99.13111]","",""
"5035","Andares","Licensed Store","Mexico","Zapopan","Jalisco","45116","Blvd Puerta De Hierrro, Guadalajara","[20.71046,-103.41201]","",""
"5038","Misiones","Licensed Store","Mexico","Ciudad Juárez","Chihuahua","32617","Blvd Paseo De La, Ciudad Juarez","[31.68645,-106.40669]","",""
"5040","Colima Sevilla","Licensed Store","Mexico","Colima","Colima","28017","Av Felipe Sevilla Del, Colima","[19.25294,-103.71229]","",""
"5043","Paseo Tabasco","Licensed Store","Mexico","Villahermosa","Tabasco","86035","Av Prol Paseo Tabasco, Villahermosa","[17.99710,-92.94219]","",""
"5045","Apto Sala Intl despues de filt","Licensed Store","Mexico","Zapote del Valle","Jalisco","45672","Carretera Gdl - Chapala, Guadalajara","[20.52551,-103.30172]","",""
"5047","Churubusco","Licensed Store","Mexico","Monterrey","Nuevo Leon","64590","Av Miguel Aleman No4120-1, Monterrey","[25.68578,-100.26719]","",""
"5050","Plaza Cumbres Cancun","Licensed Store","Mexico","Cancún","Quintana Roo","77560","Blvd Luis Donaldo Colosio, Cancun","[21.11238,-86.84021]","",""
"5051","Boulevard Centenario","Licensed Store","Mexico","Los Mochis","Sinaloa","81289","Blvd Antonio Rosales No 985, Los Mochis","[25.78444,-109.00386]","",""
"5054","Hidago Tampico","Licensed Store","Mexico","Tampico","Tamaulipas","89330","Av Hidalgo Sn Col, Tampico","[22.27197,-97.87377]","",""
"5055","Gabriel Mancera","Licensed Store","Mexico","Mexico City","Mexico City","04100","Eje 2 Pte Gabriel, Mexico City","[19.34981,-99.16169]","",""
"5057","Corporativo Polanco","Licensed Store","Mexico","Mexico City","Mexico City","11510","Av Jaime Balmes No, Mexico City","[19.43771,-99.20982]","",""
"5060","Alameda","Licensed Store","Mexico","Mexico City","Mexico City","06050","Av Juarez No 76, Mexico City","[19.43511,-99.14725]","",""
"8603200","Outlet Puebla Premier","Licensed Store","Mexico","San Francisco Ocotlán","Puebla","72680","PUMA, San Francisco Ocotln","[19.13260,-98.26704]","",""
"8603300","Epic Norponiente","Licensed Store","Mexico","Santiago de Querétaro","Querétaro","76235","Avenida Sonterra, Santiago de Quertaro","[20.61107,-100.49191]","",""
"8603500","Paseo Akia Apatzingan","Licensed Store","Mexico","Apatzingán de la Constitución","Michoacán","60667","Avenida Jos Mara Morelos y Pavn P, Apatzingan","[19.08829,-102.37384]","",""
"18854","Malecon las Americas","Licensed Store","Mexico","Cancún","Quintana Roo","77500","Av Bonampak Sn Lt1, Cancun","[21.14698,-86.82388]","",""
"18859","Plaza Lilas","Licensed Store","Mexico","Mexico City","Mexico City","11910","Bosque De Lilas No, Mexico City","[19.38774,-99.24774]","",""
"18877","Felix Cuevas","Licensed Store","Mexico","Mexico City","Mexico City","03200","Eje 7 Sur Felix, Mexico City","[19.37399,-99.17849]","",""
"18853","CM Los Cabos","Licensed Store","Mexico","San José del Cabo","Baja California Sur","23400","Blvd Mauricio Castro No4650, Los Cabos","[23.04347,-109.70459]","",""
"18855","Luna Parc","Licensed Store","Mexico","Cuautitlán Izcalli","State of Mexico","54740","Av 1 De Mayo, Cuautitlan Izcalli","[19.65729,-99.21042]","",""
"18927","Via Acoxpa","Licensed Store","Mexico","Mexico City","Mexico City","14340","Calz Acoxpa No438 Col, Mexico City","[19.29865,-99.13790]","",""
"19202","Parque Duraznos","Licensed Store","Mexico","Mexico City","Mexico City","11700","Bosque De Duraznos No39, Mexico City","[19.40321,-99.24248]","",""
"19223","Reforma Rio Marne","Licensed Store","Mexico","Mexico City","Mexico City","06500","Av Paseo De La, Mexico City","[19.43052,-99.16113]","",""
"19229","Culiacan Cinepolis","Licensed Store","Mexico","Culiacán","Sinaloa","80100","Blvd Pedro Infante Cruz, Culiacan","[24.80056,-107.41352]","",""
"19260","Samara I","Licensed Store","Mexico","Mexico City","Mexico City","01376","Av Santa Fe No94, Mexico City","[19.36780,-99.25836]","",""
"19321","Coapa Chedraui","Licensed Store","Mexico","Mexico City","Mexico City","04940","Calz De Hueso No670, Mexico City","[19.30425,-99.12002]","",""
"19322","Mariano Escobedo","Licensed Store","Mexico","Leon","Guanajuato","37480","Blvd Mariano Escobedo No2502, Leon","[21.10848,-101.66495]","",""
"19327","Plaza Lomas Verdes","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","53140","Colina De La Paz, Naucalpan","[19.49486,-99.24673]","",""
"20126","Tuxtla Belisario Dominguez","Licensed Store","Mexico","Tuxtla Gutiérrez","Chiapas","29060","Blvd Belisario Dominguez No2535, Tuxtla Gutierrez","[16.75463,-93.14132]","",""
"20144","Macroplaza Tijuana","Licensed Store","Mexico","Tijuana","Baja California","22226","Blvd Insurgentes No18003 Interior, Tijuana","[32.49370,-116.93214]","",""
"20200","Park Plaza I","Licensed Store","Mexico","Mexico City","Mexico City","01376","CC Park Plaza Javier, Mexico City","[19.36504,-99.25884]","",""
"20312","Amsterdam","Licensed Store","Mexico","Mexico City","Mexico City","06100","Av Sonora No180 Loc, Mexico City","[19.41317,-99.16736]","",""
"65764","Torre WTC","Licensed Store","Mexico","Mexico City","Mexico City","03800","Calle Montecitos No 38, Mexico City","[19.39455,-99.17357]","",""
"68710","Bonampak -DT","Licensed Store","Mexico","Cancún","Quintana Roo","77500","Av Bonampak Mza20 Lt, Cancun","[21.15887,-86.82062]","",""
"68876","C.C. Plaza Satelite","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","53100","Circuito Centro Comercila 2251, Naucalpan","[19.51029,-99.23338]","",""
"69038","Prisma Insurgentes","Licensed Store","Mexico","Mexico City","Mexico City","03900","Loc Pb Ubicado En, Mexico City","[19.36254,-99.18282]","",""
"68934","Plaza Aragon","Licensed Store","Mexico","Ecatepec de Morelos","State of Mexico","55149","Av Carlos Hank Gonzalez, Ecatepec","[19.53062,-99.02721]","",""
"69527","Hospital Angeles Interlomas","Licensed Store","Mexico","Jesús del Monte","State of Mexico","52763","Av Vialidad De La, Mexico","[19.39421,-99.28105]","",""
"69535","Eduardo Molina","Licensed Store","Mexico","Mexico City","Mexico City","07450","Calz San Juan De, Mexico City","[19.47960,-99.09606]","",""
"69540","Paseo Montejo","Licensed Store","Mexico","Merida","Yucatan","97000","Paseo Montejo No 465, Merida","[20.98498,-89.61810]","",""
"69533","Plaza Carso SLP","Licensed Store","Mexico","San Luis Potosi","San Luis Potosi","78215","Blvd Antonio Rocha Cordero, San Luis Potosi","[22.12751,-101.03072]","",""
"69539","Plaza Luis Cabrera","Licensed Store","Mexico","Mexico City","Mexico City","06700","Loc A Ubicado En, Mexico City","[19.41670,-99.15971]","",""
"88710","Plaza Las Palmas","Licensed Store","Mexico","Aguascalientes","Aguascalientes","20127","Av Universidad Esq San, Aguascalientes","[21.90807,-102.30975]","",""
"91736","Juarez 32","Licensed Store","Mexico","Mexico City","Mexico City","06050","Av Juarez 32 ColCentro, Mexico City","[19.43428,-99.14318]","",""
"91740","Corp. Coyoacan","Licensed Store","Mexico","Mexico City","Mexico City","03104","Av Coyoacan No 1622, Mexico City","[19.36584,-99.17221]","",""
"91716","Paseo Interlomas","Licensed Store","Mexico","Huixquilucan","State of Mexico","52779","Av Vialidad De La, Huixquilucan","[19.39668,-99.28179]","",""
"92494","Portal Churbusco","Licensed Store","Mexico","Mexico City","Mexico City","09060","Rio Churubusco 583 Col, Mexico City","[19.36885,-99.12077]","",""
"92489","Chapultepec Reforma","Licensed Store","Mexico","Mexico City","Mexico City","11850","Secc 1 Acceso A, Mexico City","[19.42424,-99.18448]","",""
"92495","Constituyentes Qro","Licensed Store","Mexico","Santiago de Querétaro","Querétaro","76030","Av Constituyentes No57 Int, Queretaro","[20.58409,-100.39329]","",""
"92699","Galerias Coapa","Licensed Store","Mexico","Mexico City","Mexico City","14300","Av Canal De Miramontes, Mexico City","[19.30285,-99.12304]","",""
"113961","Sendero Toluca","Licensed Store","Mexico","Lerma de Villada","State of Mexico","52000","Blvd Apto Miguel Aleman, Toluca","[19.28860,-99.55441]","",""
"114001","Alfonso Reyes","Licensed Store","Mexico","Mexico City","Mexico City","06760","Av Alfonso Reyes No218, Mexico City","[19.40750,-99.17380]","",""
"1005674","Galerias Campeche","Licensed Store","Mexico","Campeche","Campeche","24014","Pedro Sainz De Baranda, CAMPECHE","[19.85699,-90.52222]","",""
"1005832","Espacio Vista del Valle","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","52323","Av Circunvalacion Poniente No189, Estado de Mexico","[19.47730,-99.26870]","",""
"8692400","Juarez 70","Licensed Store","Mexico","Toluca","State of Mexico","50130","Calle Francisco Murgua, Toluca de Lerdo","[19.28111,-99.65384]","",""
"1006291","Galerias Mazatlan","Licensed Store","Mexico","Mazatlan","Sinaloa","82103","Av De La Marina, MAZATLAN","[23.27890,-106.44930]","",""
"1006343","Las Juntas","Licensed Store","Mexico","Las Juntas","Jalisco","48291","Parcela 158 Zona 1, Puerto Vallarta","[20.68932,-105.24967]","",""
"1006351","Plaza Del Parque Oaxaca","Licensed Store","Mexico","Oaxaca","Oaxaca","68050","Calz Porfirio Diaz N258, Oaxaca","[17.07876,-96.71906]","",""
"1006748","Picacho","Licensed Store","Mexico","Mexico City","Mexico City","14240","Carretera Picacho Ajusco 557, Mexico","[19.29168,-99.21710]","",""
